Product Name,Vendor Name,Number of Total Vulnerabilities,# Of Vulnerabilities,Weighted Average,% Of Total
Debian Linux,Debian,3067,,31,111,67,862,607,587,654,7,141,6.30,0,1,4,2,28,20,19,21,0,5
Android,Google,2563,,15,99,14,608,227,223,519,30,828,7.40,0,1,4,1,24,9,9,20,1,32
Linux Kernel,Linux,2357,1,93,346,51,735,143,184,662,7,135,5.90,0,4,15,2,31,6,8,28,0,6
Mac Os X,Apple,2212,1,20,154,21,366,266,475,439,10,460,7.00,0,1,7,1,17,12,21,20,0,21
Ubuntu Linux,Canonical,2007,,29,108,58,607,381,332,389,4,99,6.20,0,1,5,3,30,19,17,19,0,5
Firefox,Mozilla,1873,,3,55,8,355,369,239,325,1,518,7.30,0,0,3,0,19,20,13,17,0,28
Chrome,Google,1858,,,18,1,419,257,411,537,1,214,7.00,0,0,1,0,23,14,22,29,0,12
Iphone Os,Apple,1655,,28,113,21,311,174,571,146,5,286,6.70,0,2,7,1,19,11,35,9,0,17
Windows Server 2008,Microsoft,1421,,77,138,10,228,51,105,391,12,409,7.10,0,5,10,1,16,4,7,28,1,29
Windows 7,Microsoft,1283,,75,140,7,214,39,95,355,9,349,7.00,0,6,11,1,17,3,7,28,1,27
Acrobat Dc,Adobe,1182,,,,1,221,148,90,50,,672,8.20,0,0,0,0,19,13,8,4,0,57
Acrobat Reader Dc,Adobe,1182,,,,1,221,148,90,50,,672,8.20,0,0,0,0,19,13,8,4,0,57
Windows 10,Microsoft,1111,,85,156,16,215,43,94,264,6,232,6.50,0,8,14,1,19,4,8,24,1,21
Flash Player,Adobe,1078,,,1,,42,59,24,57,1,894,9.40,0,0,0,0,4,5,2,5,0,83
Windows Server 2012,Microsoft,1050,,83,139,12,154,54,86,253,7,262,6.70,0,8,13,1,15,5,8,24,1,25
Enterprise Linux Desktop,Redhat,1039,,7,62,18,279,178,185,204,1,105,6.50,0,1,6,2,27,17,18,20,0,10
Internet Explorer,Microsoft,1030,,1,30,,123,18,33,218,2,605,8.60,0,0,3,0,12,2,3,21,0,59
Safari,Apple,1029,,3,18,,214,101,417,49,3,224,7.10,0,0,2,0,21,10,41,5,0,22
Enterprise Linux Server,Redhat,979,,6,44,17,272,166,186,196,1,91,6.50,0,1,4,2,28,17,19,20,0,9
Windows 8.1,Microsoft,978,,80,136,10,143,43,83,226,7,250,6.70,0,8,14,1,15,4,8,23,1,26
Acrobat,Adobe,949,,,,1,93,33,45,27,,750,9.20,0,0,0,0,10,3,5,3,0,79
Enterprise Linux Workstation,Redhat,941,,6,37,17,265,159,177,189,,91,6.50,0,1,4,2,28,17,19,20,0,10
Thunderbird,Mozilla,921,,,20,2,131,137,105,163,,363,7.80,0,0,2,0,14,15,11,18,0,39
Opensuse,Opensuse,918,,15,40,45,182,211,160,166,1,98,6.50,0,2,4,5,20,23,17,18,0,11
Windows Server 2016,Microsoft,889,,81,132,16,184,41,73,187,6,169,6.20,0,9,15,2,21,5,8,21,1,19
Windows Rt 8.1,Microsoft,848,,44,123,10,129,32,69,205,7,229,6.90,0,5,15,1,15,4,8,24,1,27
Windows Vista,Microsoft,831,,8,33,2,119,26,57,289,9,288,7.90,0,1,4,0,14,3,7,35,1,35
Windows Xp,Microsoft,741,,1,25,3,73,71,43,282,4,239,7.90,0,0,3,0,10,10,6,38,1,32
Mysql,Oracle,716,,23,28,112,403,58,54,29,1,8,5.10,0,3,4,16,56,8,8,4,0,1
Seamonkey,Mozilla,698,,,11,2,130,88,73,61,,333,7.90,0,0,2,0,19,13,10,9,0,48
Fedora,Fedoraproject,697,,7,31,19,171,183,114,144,,28,6.30,0,1,4,3,25,26,16,21,0,4
Acrobat Reader,Adobe,681,,,4,2,77,32,40,31,,495,8.90,0,0,1,0,11,5,6,5,0,73
Firefox Esr,Mozilla,672,,,7,3,82,83,119,174,1,203,7.70,0,0,1,0,12,12,18,26,0,30
Enterprise Linux,Redhat,662,,25,52,34,161,125,81,149,2,33,6.00,0,4,8,5,24,19,12,23,0,5
Mac Os X Server,Apple,640,,6,48,6,91,109,170,137,2,71,6.70,0,1,8,1,14,17,27,21,0,11
IE,Microsoft,631,,,49,,86,167,23,140,1,165,7.20,0,0,8,0,14,26,4,22,0,26
JRE,Oracle,617,2,3,33,11,87,190,58,50,,183,7.10,0,0,5,2,14,31,9,8,0,30
Edge,Microsoft,615,,,29,,112,16,6,403,,49,7.30,0,0,5,0,18,3,1,66,0,8
JDK,Oracle,607,2,3,33,11,87,189,56,48,,178,7.00,0,0,5,2,14,31,9,8,0,29
PHP,PHP,604,,1,21,4,64,187,86,199,1,41,6.80,0,0,3,1,11,31,14,33,0,7
Itunes,Apple,601,,,5,1,38,15,340,104,1,97,7.50,0,0,1,0,6,2,57,17,0,16
Leap,Opensuse,595,,5,34,20,155,127,154,65,1,34,6.20,0,1,6,3,26,21,26,11,0,6
Wireshark,Wireshark,576,,,24,32,184,261,7,46,3,19,5.80,0,0,4,6,32,45,1,8,1,3
Sunos,SUN,569,,14,56,27,115,80,29,189,2,57,6.40,0,2,10,5,20,14,5,33,0,10
Office,Microsoft,546,,,8,,52,26,18,20,1,421,9.10,0,0,1,0,10,5,3,4,0,77
Imagemagick,Imagemagick,545,,,2,1,296,45,106,87,,8,6.00,0,0,0,0,54,8,19,16,0,1
IOS,Cisco,532,1,,9,12,42,102,65,257,4,40,7.20,0,0,2,2,8,19,12,48,1,8
Windows 2000,Microsoft,514,1,,26,5,44,91,24,177,2,144,7.60,0,0,5,1,9,18,5,34,0,28
Watchos,Apple,473,,,19,2,76,43,137,62,3,131,7.40,0,0,4,0,16,9,29,13,1,28
Solaris,SUN,465,,8,47,9,111,49,21,162,,58,6.60,0,2,10,2,24,11,5,35,0,12
